,laptop_id,product,inches,ram,weight,price_euros,tn_2_in_1_convertible,tn_gaming,tn_netbook,tn_notebook,tn_ultrabook,tn_workstation,scr_4k_ultra_hd,scr_full_hd,scr_hd,scr_other,scr_quad_hd+,cpu_ghz,cpu_intel,cpu_amd,so_windows,so_no,so_linux,so_chrome,so_mac,gpu_intel,gpu_nvidia,gpu_amd,memory_gb,company_acer,company_apple,company_asus,company_chuwi,company_dell,company_fujitsu,company_google,company_hp,company_huawei,company_lenovo,company_lg,company_mediacom,company_microsoft,company_msi,company_razer,company_samsung,company_toshiba,company_vero,company_xiaomi
0,1104,Aspire ES1-523,15.6,4,2.4,387.0,0,0,0,1,0,0,0,0,1,0,0,2.2,0,1,1,0,0,0,0,0,0,1,500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,114,XPS 13,13.3,8,1.23,1379.0,0,0,0,0,1,0,0,0,0,0,1,2.4,1,0,1,0,0,0,0,1,0,0,256.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,172,Aspire A517-51G,17.3,8,3.0,854.0,0,0,0,1,0,0,0,1,0,0,0,1.6,1,0,1,0,0,0,0,0,1,0,256.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,918,Elitebook 820,12.5,8,1.26,1483.0,0,0,1,0,0,0,0,1,0,0,0,2.7,1,0,1,0,0,0,0,1,0,0,512.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,447,IdeaPad 320-15AST,17.3,8,2.8,519.0,0,0,0,1,0,0,0,0,0,1,0,2.5,0,1,1,0,0,0,0,0,0,1,1024.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,1150,IdeaPad 500-15ISK,15.6,16,2.5,1099.0,0,0,0,1,0,0,0,1,0,0,0,2.5,1,0,1,0,0,0,0,0,0,1,1024.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,63,IdeaPad 520S-14IKB,14.0,8,1.7,599.0,0,0,0,1,0,0,0,1,0,0,0,2.7,1,0,0,0,0,0,0,1,0,0,256.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,108,Pavilion 14-BK001nv,14.0,6,1.58,659.0,0,0,0,1,0,0,0,1,0,0,0,2.5,1,0,1,0,0,0,0,0,1,0,256.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,644,XPS 13,13.3,8,1.23,1869.0,0,0,0,0,1,0,0,0,0,0,1,1.6,1,0,1,0,0,0,0,1,0,0,256.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,386,Omen 17-w212nv,17.3,8,3.35,1191.0,0,1,0,0,0,0,0,1,0,0,0,2.8,1,0,1,0,0,0,0,0,1,0,128.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,1263,Rog GL553VE-FY052T,15.6,16,2.5,1600.0,0,1,0,0,0,0,0,1,0,0,0,2.8,1,0,1,0,0,0,0,0,1,0,256.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,813,Latitude 3180,11.6,4,1.63,744.0,0,0,1,0,0,0,0,0,1,0,0,1.1,1,0,1,0,0,0,0,1,0,0,128.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1206,XPS 13,13.3,8,1.23,1099.0,0,0,0,0,1,0,0,0,0,0,1,2.4,1,0,0,0,1,0,0,1,0,0,256.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,680,Yoga 720-13IKB,13.3,8,1.3,1034.0,1,0,0,0,0,0,0,1,0,0,0,2.5,1,0,1,0,0,0,0,1,0,0,256.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,272,IdeaPad 320-15IKBN,15.6,4,2.2,467.0,0,0,0,1,0,0,0,1,0,0,0,2.5,1,0,0,0,0,0,0,1,0,0,1024.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,196,Mi Notebook,13.3,8,1.3,999.9,0,0,0,0,1,0,0,1,0,0,0,2.5,1,0,0,0,0,0,0,0,1,0,256.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,1059,EliteBook 850,15.6,8,1.84,2103.34,0,0,0,1,0,0,0,1,0,0,0,2.4,1,0,1,0,0,0,0,1,0,0,256.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,1281,Aspire ES1-531,15.6,4,2.4,289.0,0,0,0,1,0,0,0,0,1,0,0,1.6,1,0,0,0,1,0,0,1,0,0,500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1084,"MacBook 12""",12.0,8,0.92,1300.0,0,0,0,0,1,0,0,0,0,1,0,1.1,1,0,0,0,0,0,1,1,0,0,256.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1052,Latitude E5570,15.6,8,2.09,1062.95,0,0,0,1,0,0,0,1,0,0,0,2.4,1,0,1,0,0,0,0,1,0,0,256.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,190,XPS 15,15.6,16,2.06,2397.0,0,0,0,1,0,0,1,0,0,0,0,2.8,1,0,1,0,0,0,0,0,1,0,512.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,559,Alienware 17,17.3,16,4.42,2699.0,0,1,0,0,0,0,0,1,0,0,0,2.8,1,0,1,0,0,0,0,0,1,0,256.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1024,Inspiron 7567,15.6,8,2.65,949.0,0,1,0,0,0,0,0,1,0,0,0,2.5,1,0,1,0,0,0,0,0,1,0,1024.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1276,B51-80 (i7-6500U/8GB/1008GB/Radeon,15.6,8,2.32,895.0,0,0,0,1,0,0,0,1,0,0,0,2.5,1,0,1,0,0,0,0,0,0,1,1024.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,1010,Spectre 13-V111dx,13.3,8,1.11,1349.0,0,0,0,0,1,0,0,1,0,0,0,2.7,1,0,1,0,0,0,0,1,0,0,256.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,26,Inspiron 3567,15.6,4,2.3,418.64,0,0,0,1,0,0,0,0,1,0,0,2.5,1,0,1,0,0,0,0,1,0,0,1024.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
